name,today_playcount,playcount_diff
Wonderwall,16190135,
Intro,14055147,2272.0
Blue Jeans,12804139,1788.0
When You Were Young,11679670,2165.0
Teardrop,11429903,1795.0
I'm Yours,11027898,1678.0
Someone Like You,10878646,2619.0
Lithium,10535199,2652.0
Alejandro,10012893,1877.0
Set Fire to the Rain,9744695,2596.0
Little Lion Man,9553243,
Jigsaw Falling Into Place,9474695,0.0
Paradise,9310334,1781.0
Don't Panic,9262257,
What I've Done,9125003,1689.0
Comfortably Numb,9112078,
Sweet Disposition,9040043,1752.0
Faint,8995051,1772.0
All These Things That I've Done,8944189,1333.0
I Kissed a Girl,8824486,2098.0
